content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
best apps,2023-05-25 08:33:48,4.35.0,80.80000000000001,0.0,19.2,63.690000000000005,Positive
Good,2023-05-24 22:17:37,4.36.0,100.0,0.0,0.0,44.04,Positive
Fairly precise app,2023-05-24 21:54:00,4.37.0,0.0,0.0,100.0,0.0,Neutral
good apps,2023-05-24 18:19:38,4.35.0,74.4,0.0,25.6,44.04,Positive
Not cool,2023-05-24 15:33:52,,0.0,66.2,33.800000000000004,-24.11,Negative
Excellent,2023-05-24 03:56:04,4.36.0,100.0,0.0,0.0,57.19,Positive
ITS good,2023-05-24 00:00:17,4.36.0,74.4,0.0,25.6,44.04,Positive
Thank you,2023-05-23 18:41:52,,71.39999999999999,0.0,28.599999999999998,36.120000000000005,Positive
Nice app,2023-05-23 14:12:50,4.35.0,73.7,0.0,26.3,42.15,Positive
good aps,2023-05-23 13:17:35,,74.4,0.0,25.6,44.04,Positive
Best,2023-05-23 08:03:33,3.16.0,100.0,0.0,0.0,63.690000000000005,Positive
Okay,2023-05-23 02:46:47,4.36.0,100.0,0.0,0.0,22.63,Positive
The app is good but very slow,2023-05-23 02:00:53,4.36.0,24.5,0.0,75.5,23.82,Positive
I think the application should be open without code,2023-05-22 13:05:10,4.35.0,0.0,0.0,100.0,0.0,Neutral
Best network ksa,2023-05-22 12:32:44,4.37.0,67.7,0.0,32.300000000000004,63.690000000000005,Positive
Good,2023-05-22 11:38:02,4.35.0,100.0,0.0,0.0,44.04,Positive
Wow,2023-05-22 11:21:21,4.36.0,100.0,0.0,0.0,58.589999999999996,Positive
Easy to use,2023-05-22 09:15:10,4.37.0,59.199999999999996,0.0,40.8,44.04,Positive
Nice app,2023-05-22 08:52:51,4.36.0,73.7,0.0,26.3,42.15,Positive
Nice,2023-05-22 08:50:38,4.37.0,100.0,0.0,0.0,42.15,Positive
Osadaron,2023-05-22 07:09:17,,0.0,0.0,100.0,0.0,Neutral
Nice App,2023-05-22 02:59:22,4.36.0,73.7,0.0,26.3,42.15,Positive
Easy to use,2023-05-22 02:58:34,4.36.0,59.199999999999996,0.0,40.8,44.04,Positive
not bad,2023-05-22 02:31:13,4.36.0,74.0,0.0,26.0,43.1,Positive
good service,2023-05-22 01:53:53,4.36.0,74.4,0.0,25.6,44.04,Positive
Good,2023-05-21 23:17:41,4.36.0,100.0,0.0,0.0,44.04,Positive
Good aap but some time out of city facing internet problems Hope you are fixed this problem thanku,2023-05-21 06:57:02,4.36.0,21.099999999999998,28.1,50.8,-44.74,Negative
Good work,2023-05-20 00:35:06,,74.4,0.0,25.6,44.04,Positive
Very useful,2023-05-18 06:46:06,4.33.0,76.2,0.0,23.799999999999997,49.27,Positive
its good,2023-05-17 02:56:37,4.36.0,74.4,0.0,25.6,44.04,Positive
Excellent,2023-05-17 02:46:37,4.36.0,100.0,0.0,0.0,57.19,Positive
nice,2023-05-17 01:37:07,4.36.0,100.0,0.0,0.0,42.15,Positive
Good servants And very faster telecommunications,2023-05-16 22:32:23,4.36.0,36.7,0.0,63.3,44.04,Positive
good,2023-05-16 21:22:19,4.36.0,100.0,0.0,0.0,44.04,Positive
divfoh,2023-05-16 21:08:49,4.36.0,0.0,0.0,100.0,0.0,Neutral
Really good to use,2023-05-16 20:38:45,4.35.0,51.6,0.0,48.4,49.27,Positive
excellent network,2023-05-16 13:19:23,4.36.0,78.7,0.0,21.3,57.19,Positive
excellent,2023-05-16 11:47:39,4.36.0,100.0,0.0,0.0,57.19,Positive
the best,2023-05-16 08:54:03,4.36.0,80.80000000000001,0.0,19.2,63.690000000000005,Positive
Any time login paswd incorrect,2023-05-16 08:20:02,4.36.0,0.0,0.0,100.0,0.0,Neutral
very good,2023-05-16 07:51:49,4.36.0,76.2,0.0,23.799999999999997,49.27,Positive
nice apps,2023-05-16 07:36:36,4.36.0,73.7,0.0,26.3,42.15,Positive
excellent,2023-05-16 06:57:13,4.36.0,100.0,0.0,0.0,57.19,Positive
Nice one stc,2023-05-16 02:45:56,4.36.0,58.3,0.0,41.699999999999996,42.15,Positive
nice,2023-05-16 02:21:34,4.36.0,100.0,0.0,0.0,42.15,Positive
